DIST,Annual,Kharif,Rabi,Summer,Autumn
Baudh,1437.4702702702705,973.6225225225226,120.13873873873874,308.3243243243243,115.4126126126126
Beed,768.2558558558559,496.1558558558558,96.16756756756757,167.5144144144144,88.25135135135136
Begusarai,1120.9891891891893,774.4387387387387,78.73603603603603,242.38018018018016,75.48558558558558
Belgaum,869.9603603603601,486.96216216216214,148.0891891891892,230.97207207207208,141.13963963963965
Bellary,558.4936936936937,269.38378378378377,142.94144144144147,140.5225225225225,136.1846846846847
Betul,1073.4369369369372,788.599099099099,76.67837837837837,180.05585585585587,67.49639639639639
Bhabhua,1072.8477477477477,819.3369369369369,59.93333333333334,156.89009009009015,55.82612612612613
Bhadrak,1668.9405405405405,957.309009009009,238.9711711711712,424.29819819819824,233.44864864864863
Bhagalpur,1346.8792792792794,879.7576576576575,100.87837837837836,340.04144144144135,97.85945945945944
Bhandara,1400.2873873873873,1067.0810810810813,70.6963963963964,229.8918918918919,62.163963963963965
Bharatpur,615.6459459459459,503.93783783783783,25.297297297297295,66.43063063063065,20.67837837837838
Bharuch,931.0252252252252,739.9270270270273,35.65765765765766,152.61351351351354,34.26846846846847
Bhavnagar,596.7657657657658,443.5702702702704,32.553153153153154,118.60540540540543,31.552252252252252
Bhilwara,652.1072072072075,545.5225225225224,21.24324324324324,77.16756756756757,18.0009009009009
Bhind,733.4621621621621,602.290990990991,37.96486486486487,72.42972972972973,32.80540540540541
Bhiwani,440.7351351351352,327.5351351351351,17.963963963963963,69.99009009009009,12.93153153153153
Bhojpur,1010.5936936936937,756.0324324324323,60.17207207207207,166.07207207207205,56.092792792792785
Bhopal,1175.3513513513515,949.5900900900899,54.557657657657664,148.86936936936934,45.40180180180182
Bidar,881.9801801801801,578.1954954954956,102.65945945945947,188.31711711711708,97.52252252252254
Bijapur,593.726126126126,323.19909909909904,124.7459459459459,139.73513513513512,118.65405405405404
Bijnor,1152.0675675675675,866.3981981981983,49.951351351351356,171.53963963963966,38.657657657657666
Bikaner,261.6162162162162,191.83693693693695,9.83513513513513,49.438738738738735,7.065765765765766
Bilaspur,1183.817117117117,760.8162162162162,60.943243243243224,242.93783783783783,34.06036036036036
Bilaspur2,1351.1747747747747,1014.9954954954954,66.77837837837838,229.7594594594595,60.8054054054054
