,District_Name,Year,Kharif,Rabi,Autumn,Summer,Whole Year,Winter
0,adilabad,1985,26.97433333333333,24.1915,25.10225,28.2525,27.897666666666662,26.1015
1,adilabad,1986,27.74266666666667,24.0915,25.64925,28.71575,30.20955555555556,25.0485
2,adilabad,1987,27.875666666666664,24.20975,25.6555,29.42925,30.418962962962954,24.90525
3,adilabad,1988,26.933333333333334,23.62025,24.626,28.44275,30.343413580246903,25.49675
4,adilabad,1989,26.57133333333333,23.70925,24.844,27.74225,29.73395113168725,24.2815
5,adilabad,1990,26.687,24.10175,25.18275,27.459,29.40199592764061,24.8045
6,adilabad,1991,27.235,23.59525,24.99675,28.08325,29.98616632730339,25.1375
7,adilabad,1992,26.74833333333333,23.1835,24.53275,28.89275,30.040763860608617,24.30375
8,adilabad,1993,27.177666666666667,23.313,24.445,28.797,30.042563655050717,24.21675
9,adilabad,1994,26.756,23.48475,24.56875,27.38775,29.66888030458756,24.75525
10,adilabad,1995,27.54433333333333,23.572,25.49,29.26925,29.949073358715623,24.2745
11,adilabad,1996,26.977000000000004,23.9425,24.7345,28.82125,30.41567277989297,25.479
12,adilabad,1997,27.241,24.3765,25.87525,28.67675,30.05055606499108,24.67325
13,adilabad,1998,27.54433333333333,24.15075,25.074,29.29225,30.609296338749257,24.9665
14,adilabad,1999,26.767,23.522,24.789,27.81825,29.96727469489577,24.89175
15,adilabad,2000,27.532666666666668,24.56175,25.546,27.742,30.04535622457465,24.908
16,adilabad,2001,27.374666666666663,24.49275,25.8095,28.21225,30.381863018714554,25.678
17,adilabad,2002,26.943333333333328,24.2955,25.4445,28.21325,30.481155251559542,25.63325
18,agra,1985,26.831333333333333,19.1105,22.39375,30.380000000000003,25.75825,19.07775
19,agra,1986,28.801,20.21575,23.847,30.849500000000003,27.84252083333333,18.10075
20,agra,1987,29.876,20.43125,24.12,32.90825,29.057793402777776,19.18025
21,agra,1988,28.325666666666667,20.245,23.605,30.497,28.67239945023148,19.4015
22,agra,1989,28.36733333333333,19.395,23.0885,30.427,27.730116620852623,17.8485
23,agra,1990,27.95133333333333,20.39175,23.205,30.34975,27.96167638507105,18.62875
24,agra,1991,28.087,19.3785,23.05775,31.51925,28.145889698755923,18.43025
25,agra,1992,27.761,19.9065,23.02975,31.032000000000004,28.05357414156299,18.465
26,agra,1993,28.282666666666668,20.326500000000003,23.29225,31.02225,28.316214511796915,18.44825
27,agra,1994,27.726333333333333,20.417,23.169,30.3995,28.16393454264974,19.35875
28,agra,1995,28.34166666666667,20.0575,23.71475,31.213,28.23716121188748,18.121
29,agra,1996,27.680333333333333,19.2545,22.6765,29.971750000000004,27.59368010099062,18.1175
30,agra,1997,27.602666666666668,18.573,22.22025,30.4315,27.12505667508256,17.518
31,agra,1998,28.582666666666668,19.956,23.7025,30.99375,28.08883805625688,17.87025
32,agra,1999,28.363,20.10275,23.57525,30.84975,28.46731983802141,18.6915
33,agra,2000,28.781333333333333,20.8455,24.21725,30.355,28.35202665316845,18.3065
34,agra,2001,29.290666666666667,20.60525,24.43175,30.57875,28.339335554430704,18.9075
35,agra,2002,28.334,20.629,23.76225,31.2335,28.82711129620256,19.0955
36,ahmadabad,1985,28.12433333333333,23.5475,25.99175,29.49725,27.0475,22.62175
37,ahmadabad,1986,28.502,23.98475,26.09275,29.3275,29.401458333333338,22.4685
38,ahmadabad,1987,30.759,25.361249999999995,27.86225,31.30775,30.82962152777778,23.48175
39,ahmadabad,1988,28.727666666666664,24.357499999999995,26.177,29.81275,30.26355179398148,23.70225
40,ahmadabad,1989,28.424333333333337,23.95625,26.41,29.14225,29.49596264949845,22.1525
41,ahmadabad,1990,27.796666666666663,24.243,25.694,29.12925,29.489246887458204,22.823
42,ahmadabad,1991,27.951666666666668,23.42175,25.632,29.621,29.493853907288184,22.3605
43,ahmadabad,1992,27.897,23.84325,25.67675,29.6435,29.30723782560735,22.26325
44,ahmadabad,1993,29.243666666666662,24.78175,26.77925,30.17125,30.15360315213395,23.241
45,ahmadabad,1994,28.290000000000003,23.915750000000003,25.62375,28.975250000000003,29.574716929344493,23.07
46,ahmadabad,1995,29.354,24.0105,26.475500000000004,30.46225,29.85972641077871,22.298500000000004
47,ahmadabad,1996,27.912666666666667,23.68025,25.54825,29.34625,29.752477200898227,23.50525
48,ahmadabad,1997,28.053333333333335,23.62225,25.82525,29.24825,29.21912310007485,22.297
49,ahmadabad,1998,29.201,23.97275,26.035,29.82375,29.77517692500623,22.221
50,ahmadabad,1999,28.343666666666667,23.318,25.76225,29.379250000000003,29.44818141041718,22.57925
51,ahmadabad,2000,29.015,24.55625,26.606250000000003,29.603250000000003,29.673265117534765,22.42825
52,ahmadabad,2001,29.02,24.16125,26.583,28.885,29.45868875979457,22.5815
53,ahmadabad,2002,28.70533333333333,24.387500000000003,26.56275,29.503,29.923307396649545,22.880000000000003
54,ajmer,1985,26.83333333333333,20.34775,23.50975,29.1515,25.59283333333333,19.98375
55,ajmer,1986,27.78933333333333,20.419,23.68825,29.45925,27.475902777777776,18.43625
56,ajmer,1987,29.540000000000003,21.03375,24.45025,31.25675,28.61074189814815,19.768
57,ajmer,1988,27.895333333333337,21.01575,24.01625,29.41475,28.488061824845676,20.192
58,ajmer,1989,27.57466666666667,20.5495,23.879250000000003,29.10225,27.684338485403803,18.7305
59,ajmer,1990,26.847666666666665,20.79925,23.033,28.85825,27.59436154045032,19.265
60,ajmer,1991,27.130666666666663,20.19275,23.18275,29.75825,27.64861346170419,19.29075
61,ajmer,1992,26.616666666666664,20.4875,23.0495,29.4915,27.54246778847535,19.1365
62,ajmer,1993,28.19233333333333,21.333,24.17975,29.298,28.071372315706277,19.5525
63,ajmer,1994,26.331333333333333,20.72575,22.99,28.4025,27.727531026308856,20.08275
64,ajmer,1995,27.860333333333333,20.75425,24.095,29.99375,27.994377585525736,18.92325
65,ajmer,1996,26.799333333333333,20.1455,23.00475,28.65025,27.61303146546048,19.852
66,ajmer,1997,26.39433333333333,19.0525,22.06125,28.9165,26.754252622121708,18.6485
67,ajmer,1998,28.370666666666665,21.11975,24.23475,30.13775,28.259187718510145,19.39475
68,ajmer,1999,27.76533333333333,21.0395,24.20925,29.3335,28.306932309875844,19.55875
69,ajmer,2000,28.20133333333333,21.7065,24.503,29.555750000000003,28.41949435915632,19.628
70,ajmer,2001,28.593333333333334,21.32825,24.81325,28.9315,28.01354119659636,19.81325
71,ajmer,2002,28.47666666666667,21.70125,24.935,30.49875,28.9361284330497,20.05225
72,akola,1985,26.28033333333333,23.42075,24.559,27.662000000000003,26.94916666666666,24.7975
